Geneid	B7C1	B7C2	B7C4	B7D1	B7D3	B7D4
FBgn0053310	9	12	20	13	35	11
FBgn0051832	325	242	268	208	224	206
FBgn0041713	888	729	465	305	265	304
FBgn0001977	1705	1927	1525	1886	1958	1954
FBgn0004837	700	1161	727	955	1061	958
FBgn0000317	2733	2789	2202	2050	2005	2188
FBgn0053679	0	1	1	2	2	2
FBgn0010422	2552	3204	2324	2691	2830	2991
FBgn0262526	5208	6116	4641	3934	4023	4276
FBgn0024183	4292	4125	3610	2391	2528	2446
FBgn0028879	525	659	457	493	448	499
FBgn0028878	2	2	1	0	1	0
FBgn0001978	7926	9530	6900	9124	9669	9942
FBgn0264435	0	0	3	0	6	0
FBgn0265917	0	0	0	0	0	0
FBgn0264436	0	0	1	0	2	0
FBgn0028889	0	0	0	0	0	0
FBgn0265996	0	0	0	0	0	0
FBgn0265995	0	0	2	0	0	0
FBgn0028888	326	378	282	281	286	281
FBgn0263089	0	0	1	1	1	0
FBgn0265085	0	0	6	2	13	0
FBgn0262875	0	0	2	0	2	0
FBgn0028516	3793	4346	3812	3723	3877	4365
FBgn0028862	260	278	199	214	189	228
FBgn0027559	1450	1786	1195	1858	1839	1985
FBgn0259982	678	781	556	852	812	938
FBgn0045842	937	956	1014	1337	1573	1266
FBgn0261268	6536	6620	5453	6015	6241	5987
FBgn0086691	4536	4585	3748	4433	4157	4580
FBgn0263765	1	4	3	2	3	2
FBgn0266888	1	0	0	0	0	1
FBgn0028853	1451	1639	203	1044	770	1462
FBgn0001981	57	68	48	57	23	25
FBgn0266153	0	0	1	0	2	0
FBgn0266913	0	0	0	0	0	0
FBgn0266154	0	0	0	0	0	0
FBgn0266914	0	0	0	0	0	0
FBgn0266163	0	0	0	0	3	0
FBgn0001983	22	31	10	19	20	10
FBgn0266155	0	0	1	1	4	0
FBgn0266156	0	0	1	0	0	0
FBgn0266157	0	0	0	0	0	0
FBgn0266893	0	0	2	2	5	0
FBgn0003448	38	74	33	52	32	33
FBgn0266831	0	1	0	1	0	0
FBgn0002524	3185	4279	2798	3472	3632	3757
FBgn0266158	0	0	2	1	8	0
FBgn0264261	0	0	8	1	3	0
FBgn0259922	0	0	44	13	52	0
FBgn0267292	0	0	0	0	0	0
FBgn0028880	0	0	55	15	69	0
FBgn0028370	164	175	153	120	127	137
FBgn0266159	0	0	1	0	1	0
FBgn0028950	1837	2225	1934	1009	713	934
FBgn0028949	62	43	90	31	19	24
FBgn0028948	22	16	30	1	3	3
FBgn0028947	0	0	0	1	0	0
FBgn0028946	2	4	4	9	11	8
FBgn0028945	22	58	146	65	53	58
FBgn0028518	787	805	475	602	468	497
FBgn0028863	602	580	447	532	458	440
FBgn0264990	0	0	0	0	0	0
FBgn0028864	0	0	0	0	0	0
FBgn0028517	0	0	0	0	0	0
FBgn0264544	0	0	0	0	0	0
FBgn0264989	0	0	0	0	0	1
FBgn0051780	0	0	0	0	0	0
FBgn0051827	0	0	0	0	0	0
FBgn0264545	0	0	0	0	0	0
FBgn0010382	6688	11881	6410	10445	11069	11471
FBgn0266309	9	23	10	16	26	15
FBgn0266160	0	1	0	2	1	0
FBgn0001989	2978	2975	2592	2402	2285	2837
FBgn0003936	0	0	0	0	0	0
FBgn0001986	2788	2941	2165	2414	2465	2517
FBgn0001987	1331	1241	1206	1141	1132	988
FBgn0028507	1374	1464	1214	1286	1277	1426
FBgn0001990	1197	1609	1106	1508	1617	1648
FBgn0041627	766	882	824	789	879	841
FBgn0051826	291	206	262	140	179	153
FBgn0051823	79	51	57	48	46	60
FBgn0051821	440	314	388	119	97	118
FBgn0028645	170	218	177	184	171	192
FBgn0028644	160	136	112	116	117	113
FBgn0013433	138	121	109	115	92	123
FBgn0266164	0	0	0	0	0	0
FBgn0028520	0	0	41	6	37	0
FBgn0028884	0	0	15	3	20	0
FBgn0085197	0	0	402	163	493	0
FBgn0266165	0	0	0	0	2	0
FBgn0001991	2760	2784	2362	2411	2308	2309
FBgn0264350	0	0	12	0	1	0
FBgn0265947	0	0	1	0	1	0
FBgn0265948	0	0	0	0	0	0
FBgn0265949	0	0	0	0	2	0
FBgn0264392	0	0	3	0	1	0
FBgn0261999	859	790	663	649	620	601
FBgn0262000	0	0	6	3	22	0
FBgn0024734	7385	9248	6403	7738	7712	7689
FBgn0028515	2329	2492	2091	2319	2413	2505
FBgn0002673	2771	4326	2917	4380	4592	4655
FBgn0028897	329	466	338	477	459	514
FBgn0001994	6345	7392	5610	7349	7347	7416
FBgn0040079	1620	1970	1317	1884	1824	1890
FBgn0032582	122	58	87	83	92	79
FBgn0266204	82	71	87	50	59	45
FBgn0001992	767	861	1256	625	654	677
FBgn0028375	1638	2446	1510	1912	1896	1978
FBgn0028895	430	682	392	616	674	675
FBgn0028894	679	662	629	623	648	565
FBgn0028525	986	1230	829	737	807	921
FBgn0015338	2118	2402	1837	2081	2094	2228
FBgn0011708	3569	4142	3279	3931	4131	4163
FBgn0000339	2097	2522	2110	2184	2346	2332
FBgn0001086	3842	5142	3139	5276	5357	5756
FBgn0000250	9419	13533	8673	12640	13312	13679
FBgn0014092	1198	1298	992	1114	1087	1210
FBgn0001995	1588	1866	1358	1542	1617	1775
FBgn0040984	136	200	183	200	95	84
FBgn0028899	129	230	225	214	371	180
FBgn0265578	2	8	15	20	25	4
FBgn0087041	0	0	0	0	0	0
FBgn0000307	7117	9725	6013	9287	9733	9535
FBgn0028506	1163	1593	1197	1223	1343	1443
FBgn0025678	4740	4978	4353	4421	4551	4452
FBgn0028841	121	86	81	63	91	47
FBgn0028523	479	463	381	509	497	497
FBgn0086037	0	0	0	0	0	0
FBgn0020416	3474	2887	2797	4262	4500	4742
FBgn0020415	9274	7423	7082	7514	7704	8368
FBgn0020414	4808	3884	4021	5415	6039	5932
FBgn0005677	164	148	144	122	138	127
FBgn0032585	2	1	0	0	0	0
FBgn0266329	3	1	9	5	15	3
FBgn0032586	8397	9578	7235	8529	8771	8774
FBgn0032587	1904	2483	1864	3698	3915	3538
FBgn0263555	0	1	1	1	4	1
FBgn0086038	2	0	2	5	11	3
FBgn0266894	0	0	1	0	0	0
FBgn0266895	1	0	2	1	0	1
FBgn0259735	3975	4788	3255	3964	3981	4207
FBgn0265000	0	0	6	0	1	1
FBgn0032593	191	166	154	118	136	122
FBgn0001185	873	1000	749	965	1011	994
FBgn0262191	0	0	0	0	0	0
FBgn0261278	8710	12336	8139	11112	11561	12098
FBgn0267347	1861	2438	1920	2289	2495	2496
FBgn0051807	29	41	34	41	49	48
FBgn0053552	0	3	15	3	15	3
FBgn0266310	19	21	14	14	14	13
FBgn0262430	0	0	0	0	0	1
FBgn0262386	0	0	0	0	0	0
FBgn0262452	0	0	0	0	0	0
FBgn0262413	0	0	0	0	0	0
FBgn0263744	8	5	6	4	6	5
FBgn0263745	529	846	572	739	794	843
FBgn0062978	2966	3425	2684	2552	2501	2468
FBgn0086907	9	7	204	103	324	3
FBgn0000409	11108	11841	10258	7511	7175	8541
FBgn0027779	11403	12521	9276	9877	9444	10171
FBgn0262438	0	0	0	0	0	0
FBgn0263746	104	118	89	106	126	130
FBgn0051812	202	209	204	214	237	223
FBgn0032595	698	637	645	575	598	648
FBgn0032596	5190	5519	4573	5537	5571	5938
FBgn0032597	1336	1277	1107	1340	1304	1365
FBgn0015391	4404	6822	3899	6449	7037	6968
FBgn0032598	4	1	5	4	8	3
FBgn0261068	1478	1603	1244	1369	1408	1575
FBgn0032600	3635	4228	3030	3309	3227	3422
FBgn0032601	370	351	269	236	205	209
FBgn0032602	13	14	16	20	12	24
FBgn0264695	48174	53109	44954	23481	18858	20238
FBgn0000406	15313	11462	9645	13405	12309	13745
FBgn0032603	1139	963	641	525	505	495
FBgn0040262	143	137	74	94	110	112
FBgn0040261	9	7	5	3	7	2
FBgn0040260	1509	1409	874	775	645	684
FBgn0086673	6	9	6	12	14	10
FBgn0004797	1858	1656	1381	1421	1386	1505
FBgn0022213	11863	13840	9572	13295	13377	13891
FBgn0051739	4269	5890	4005	4655	4844	5077
FBgn0032612	483	341	393	262	278	275
FBgn0032613	541	416	406	691	723	631
FBgn0266491	0	0	0	0	0	0
FBgn0266492	1	3	3	0	1	2
FBgn0032614	2803	2621	2089	1769	1673	1955
FBgn0051810	76	39	47	73	61	50
FBgn0051809	20	23	28	28	46	31
FBgn0032615	147	134	51	33	29	36
FBgn0264440	0	0	0	0	0	0
FBgn0051781	3813	3872	3379	2401	2254	2671
FBgn0052832	1	2	63	30	106	0
FBgn0085342	0	0	0	0	0	0
FBgn0032618	0	0	0	0	0	0
FBgn0040985	3089	3509	3252	4236	4390	4493
FBgn0261671	5858	5872	4253	4853	4822	4598
FBgn0265542	5	5	3	5	7	7
FBgn0260758	7	5	157	50	208	4
FBgn0051805	0	0	112	24	137	0
FBgn0032620	1620	2125	1574	1594	1767	1900
FBgn0026150	4779	4703	3704	4367	4412	4653
FBgn0262355	0	0	2	1	2	0
FBgn0265543	0	0	0	0	1	0
FBgn0266823	0	0	2	0	2	0
FBgn0053179	203	230	193	188	185	177
FBgn0265579	0	0	4	0	2	0
FBgn0265581	0	0	3	0	4	0
FBgn0051806	1	0	65	14	78	1
FBgn0266896	0	0	0	1	0	0
FBgn0266897	0	0	0	0	0	0
FBgn0267018	0	0	0	0	0	0
FBgn0264346	0	0	7	2	3	0
FBgn0264367	0	0	1	1	1	0
FBgn0032626	0	0	77	28	102	0
FBgn0267004	0	0	0	0	1	0
FBgn0265607	0	0	0	0	0	0
FBgn0083942	0	0	0	0	0	0
FBgn0085198	0	0	12	3	13	0
FBgn0265544	0	0	1	0	0	0
FBgn0045487	0	0	0	1	0	0
FBgn0045486	0	0	0	0	0	0
FBgn0045485	0	0	0	3	0	0
FBgn0046888	1	0	0	0	0	1
FBgn0032629	171	185	147	138	130	113
FBgn0265546	0	0	11	11	17	0
FBgn0265545	0	0	3	1	4	0
FBgn0267293	0	0	1	0	0	0
FBgn0032631	0	0	2	0	3	3
FBgn0267260	0	0	0	0	0	0
FBgn0267255	0	0	0	0	0	0
FBgn0265270	0	0	61	9	8	0
FBgn0265445	0	0	5	0	0	0
FBgn0265446	1	0	0	1	1	0
FBgn0032633	2325	3347	2078	2749	2821	2840
FBgn0020503	9065	9786	7765	8288	8264	8606
FBgn0032634	994	1126	939	974	1057	1146
FBgn0032635	1236	1874	1362	1578	1697	1739
FBgn0051803	1	1	65	15	74	2
FBgn0011274	2742	2427	1910	2213	2085	2078
FBgn0265582	0	0	0	0	1	0
FBgn0053928	2	2	3	5	0	3
FBgn0260632	4508	5434	3671	5206	5052	5419
FBgn0032637	14	24	229	84	255	26
FBgn0032638	352	188	521	122	86	36
FBgn0032639	43	13	60	16	20	16
FBgn0000183	7271	9669	6446	8493	9009	8662
FBgn0032640	3891	3986	3172	3244	3445	3530
FBgn0027885	6655	6641	5697	4776	4910	5090
FBgn0024689	2354	3088	2237	2747	2930	3143
FBgn0032642	956	1043	879	1058	1027	1100
FBgn0032643	3836	4044	3272	3412	3224	3501
FBgn0032644	1153	1248	938	1122	1137	1135
FBgn0262857	0	0	0	0	0	0
FBgn0263654	0	3	0	1	1	0
FBgn0262856	4	1	0	1	1	2
FBgn0003187	2492	4028	2497	3523	3715	3898
FBgn0267279	17	9	12	20	29	15
FBgn0032645	58	51	53	55	53	51
FBgn0032646	3129	3532	2908	3154	3450	3200
FBgn0013810	805	667	863	591	845	642
FBgn0032647	25	27	53	44	75	27
FBgn0262996	0	0	14	5	15	0
FBgn0267261	0	0	1	0	1	0
FBgn0267579	2	0	0	0	2	0
FBgn0262398	0	0	0	0	0	0
FBgn0262400	0	0	1	0	0	0
FBgn0266898	0	0	3	0	5	1
FBgn0267262	0	0	0	0	0	0
FBgn0266586	0	0	0	0	0	0
FBgn0266587	3	1	2	2	1	2
FBgn0265584	6	7	6	6	10	12
FBgn0032651	61	67	70	60	61	91
FBgn0265583	3	4	2	2	4	1
FBgn0032652	372	357	341	263	241	270
FBgn0261089	357	311	347	339	323	312
FBgn0265585	0	0	13	8	5	1
FBgn0265586	0	0	1	0	2	0
FBgn0262356	0	0	6	4	20	0
FBgn0267263	1	0	0	0	0	0
FBgn0015609	1817	1719	1213	1535	1550	1412
FBgn0262876	0	0	2	0	2	0
FBgn0262018	263	256	207	217	219	206
FBgn0263338	0	1	0	0	1	0
FBgn0263339	0	1	2	0	3	0
FBgn0266871	1	7	4	3	0	1
FBgn0266872	1	3	0	1	1	0
FBgn0262960	1	0	0	2	1	0
FBgn0262963	0	0	0	0	0	0
FBgn0265549	0	0	0	1	0	0
FBgn0265548	0	0	4	2	5	0
FBgn0265547	0	0	4	3	5	0
FBgn0023096	47	57	23	34	33	36
FBgn0032656	1164	1418	1020	1177	1198	1171
FBgn0265992	0	0	2	0	2	0
FBgn0265815	1	0	0	0	0	0
FBgn0265816	0	0	0	0	0	0
FBgn0243486	255	306	239	282	222	235
FBgn0000120	19622	21550	17612	15076	13743	16360
FBgn0002939	109	292	221	57	48	35
FBgn0051741	2	1	3	2	0	0
FBgn0032663	10	12	11	6	6	10
FBgn0265669	206	203	191	139	145	141
FBgn0032665	627	686	537	395	369	410
FBgn0032666	2476	2062	1847	1583	1524	1499
FBgn0051785	0	0	0	1	2	1
FBgn0001301	2633	3360	2405	3535	3629	3809
FBgn0041184	606	645	582	825	924	836
FBgn0265671	1	1	0	4	9	8
FBgn0032668	55	38	29	26	26	48
FBgn0032669	2179	1635	2385	348	435	464
FBgn0032670	231	195	167	202	197	223
FBgn0032671	862	925	791	928	933	985
FBgn0261804	323	346	282	294	292	285
FBgn0267486	740	637	589	555	514	479
FBgn0266205	1	3	4	2	2	1
FBgn0263332	0	0	2	1	2	0
FBgn0263325	0	0	0	3	0	0
FBgn0263327	2	0	2	3	3	0
FBgn0266206	0	0	1	0	3	0
FBgn0266207	0	0	1	0	0	0
FBgn0265907	0	0	1	0	2	0
FBgn0263094	0	0	0	0	1	0
FBgn0265904	5	2	2	5	4	3
FBgn0261057	2	1	3	2	1	0
FBgn0263090	0	0	7	2	0	0
FBgn0263085	0	0	1	0	0	0
FBgn0263086	0	0	1	0	4	0
FBgn0265905	0	0	0	0	0	0
FBgn0265906	0	0	1	0	1	0
FBgn0267285	0	1	1	0	0	2
FBgn0265682	0	5	2	2	0	0
FBgn0000636	1926	1807	1893	1513	1389	1191
FBgn0085200	1	2	15	2	12	0
FBgn0265679	0	0	1	1	5	0
FBgn0265680	0	0	0	0	1	0
FBgn0265681	0	0	0	0	0	0
FBgn0261597	55797	52012	43740	40398	39709	45307
FBgn0086707	4814	6822	4622	6149	6433	6685
FBgn0032679	8254	8486	6583	5932	5925	6720
FBgn0032680	1	0	19	4	22	6
FBgn0263049	32	20	19	15	20	24
FBgn0262463	0	0	0	0	0	0
FBgn0262406	0	0	0	0	0	0
FBgn0262456	0	0	0	0	0	0
FBgn0032681	1016	1012	794	751	735	782
FBgn0032682	286	269	179	209	165	176
FBgn0032683	712	647	559	438	387	379
FBgn0032684	1874	1422	1562	1085	964	1117
FBgn0032685	408	306	254	173	169	195
FBgn0266208	1	0	1	0	0	0
FBgn0085370	5836	7010	4741	6389	6280	6539
FBgn0032688	1344	1954	1233	1643	1613	1763
FBgn0003270	1	4	3	3	4	4
FBgn0032689	4635	5242	4097	5040	4792	5069
FBgn0051789	0	1	0	2	0	0
FBgn0032690	1832	2159	1533	1937	1936	2081
FBgn0032691	746	954	703	783	723	822
FBgn0032692	14	13	10	15	5	10
FBgn0032694	1942	1902	1857	1679	1636	1592
FBgn0032693	22	26	43	38	22	21
FBgn0086200	1	2	8	3	13	2
FBgn0263079	3	3	6	2	6	1
FBgn0263078	0	1	26	6	25	0
FBgn0261349	41	57	149	76	200	53
FBgn0086681	45	53	120	83	131	49
FBgn0086909	1824	1890	1411	1484	1413	1572
FBgn0015553	2807	4640	2849	4270	4529	4845
FBgn0005617	4890	7716	4794	6412	6929	7132
FBgn0032698	1158	1579	1039	1648	1693	1793
FBgn0032699	2150	2966	2858	11631	11811	12445
FBgn0032700	936	1316	904	1169	1216	1155
FBgn0032701	2608	2607	1998	2186	2074	2218
FBgn0032702	1742	2128	1617	1961	2028	1960
FBgn0032703	1216	1378	1154	1120	1178	1244
FBgn0032704	4353	4625	3933	4770	4661	5242
FBgn0025608	3957	4787	3440	4408	4621	4761
FBgn0032705	2266	3148	2219	3045	2962	3110
FBgn0032706	2161	2052	1945	788	788	762
FBgn0032707	82	82	64	39	50	32
FBgn0265993	7	5	3	2	2	1
FBgn0265994	1	0	0	0	0	0
FBgn0261806	0	0	12	8	30	0
FBgn0032709	0	0	17	6	16	0
FBgn0045852	158	132	164	107	109	101
FBgn0264348	0	0	3	0	5	0
FBgn0266209	3	1	4	4	5	0
FBgn0264362	0	1	1	0	0	0
FBgn0264365	0	0	0	0	1	0
FBgn0040992	0	0	0	0	0	0
FBgn0260228	0	0	0	0	0	0
FBgn0259201	0	0	0	0	0	0
FBgn0040993	0	0	0	0	0	0
FBgn0027074	109	87	42	47	20	33
FBgn0032713	849	850	749	526	514	551
FBgn0027070	2067	2675	1899	2381	2597	2808
FBgn0032715	3074	2606	2455	2521	2617	2753
FBgn0015808	4397	3576	3206	3345	3164	3465
FBgn0032717	3662	5354	3290	4210	4584	4573
FBgn0051752	0	0	29	5	51	0
FBgn0053120	1323	742	817	912	986	1032
FBgn0032719	293	321	307	325	296	354
FBgn0032721	7706	8465	6718	7706	7959	8096
FBgn0032720	641	700	619	531	571	667
FBgn0003896	169	152	171	165	139	115
FBgn0263568	0	0	0	0	0	0
FBgn0265950	0	0	2	0	0	0
FBgn0265952	0	0	0	0	0	0
FBgn0265951	1	1	4	0	1	2
FBgn0032723	2881	3517	2423	3590	3765	3780
FBgn0265953	0	2	1	1	0	1
FBgn0032724	1674	1844	1399	1737	1884	1981
FBgn0032725	2253	2366	2021	2210	2239	2289
FBgn0032726	2501	1904	3403	3392	2579	3516
FBgn0265954	18	13	16	21	25	26
FBgn0032727	3422	2941	2858	1896	1706	2010
FBgn0015772	4976	6092	4219	5568	5401	5922
FBgn0032728	1231	1565	1202	1519	1659	1633
FBgn0032729	1475	1555	1257	1651	1546	1828
FBgn0032730	243	344	235	323	378	404
FBgn0032731	1754	2255	1809	2231	2411	2467
FBgn0032732	1195	1464	1147	1274	1307	1337
FBgn0032733	29	46	38	33	30	37
FBgn0032734	25	24	12	23	17	5
FBgn0046302	2904	3060	2233	2854	2198	2643
FBgn0051792	146	113	104	69	74	65
FBgn0051793	1504	1719	1145	1509	1362	1519
FBgn0086710	34286	31095	27134	24747	24086	26033
FBgn0086039	59	52	48	24	12	33
FBgn0266830	0	0	0	0	0	0
FBgn0265073	0	0	0	0	3	0
FBgn0263838	3	1	1	3	1	2
FBgn0032741	140	142	137	182	183	157
FBgn0001202	1877	2362	1852	1975	1908	2087
FBgn0051800	853	863	782	783	850	880
FBgn0086442	4233	5191	3788	4764	5320	5330
FBgn0002022	2855	2940	2461	2559	2593	2637
FBgn0032744	558	494	495	383	393	391
FBgn0263198	5608	6450	4594	5733	5719	6120
FBgn0032746	1401	1557	1268	1237	1311	1404
FBgn0002021	1281	1226	1021	1219	1146	1242
FBgn0261396	6824	7233	5504	6885	6837	7274
FBgn0032748	4138	6302	4001	5170	5706	5731
FBgn0032749	8	14	12	19	17	20
FBgn0032750	498	639	437	571	571	607
FBgn0032752	1469	2064	1292	1870	1914	1931
FBgn0032751	146	231	147	163	163	180
FBgn0032753	87	75	47	42	31	37
FBgn0053315	0	0	0	0	0	0
FBgn0032754	0	0	2	4	2	2
FBgn0002023	122	100	98	89	102	99
FBgn0263982	0	0	0	0	0	0
FBgn0032755	0	0	0	0	0	0
FBgn0266210	2	4	4	1	4	4
FBgn0000075	179	123	117	62	41	59
FBgn0002036	820	940	892	870	913	848
FBgn0000422	1711	1902	1486	1699	1601	1781
FBgn0002031	8295	9101	7051	7334	7224	7912
FBgn0086444	950	1178	886	1101	1157	1129
FBgn0086445	721	908	589	982	947	1035
FBgn0086443	8409	8027	6686	6514	6611	6985
FBgn0086446	733	847	713	694	722	744
FBgn0086447	587	548	507	322	351	389
FBgn0010300	7665	12242	7484	10654	10888	11360
FBgn0266312	11	15	5	41	36	31
FBgn0032763	703	1114	763	974	1007	1127
FBgn0267726	28	45	386	191	512	22
FBgn0010097	3140	3378	2541	3198	3174	3482
FBgn0010309	1019	1349	1175	949	956	1034
FBgn0015380	349	363	303	305	239	265
FBgn0265078	0	1	2	1	6	1
FBgn0266796	1	0	1	0	1	1
FBgn0024245	882	1298	875	1126	1152	1197
FBgn0032770	728	655	408	316	270	360
FBgn0032772	97	83	93	108	109	80
FBgn0032773	5113	4195	4429	6494	6813	6806
FBgn0032774	6260	5116	4273	4794	4569	5208
FBgn0032775	1513	1646	1056	1415	1219	1340
FBgn0041789	6996	8139	5478	5278	4925	5419
FBgn0065096	0	0	0	0	0	0
FBgn0016675	1569	1098	1380	600	636	708
FBgn0053532	147	153	264	105	156	129
FBgn0053533	1365	1869	1106	563	523	659
FBgn0032779	1117	1016	848	829	755	880
FBgn0032780	125	93	90	84	115	124
FBgn0032781	2052	2308	1841	2015	1975	2141
FBgn0032782	1274	1405	973	1147	1041	1141
FBgn0032783	6907	7900	5510	6028	6170	6559
FBgn0003346	4224	4895	3684	4732	4807	4741
FBgn0024230	1343	1830	1224	1433	1513	1635
FBgn0003732	15177	23484	14801	16669	17573	18878
FBgn0032785	271	211	207	139	148	144
FBgn0000964	2390	2103	2138	985	920	1043
FBgn0267286	3	3	3	0	2	2
FBgn0267287	2	0	5	1	4	4
FBgn0264391	10	8	20	4	15	4
FBgn0032787	842	829	741	853	932	960
FBgn0032788	495	1127	2700	2	3	3
FBgn0032789	866	1519	3135	2	0	1
FBgn0032790	774	938	745	871	903	942
FBgn0032791	369	372	259	386	381	413
FBgn0032793	562	561	467	576	574	587
FBgn0002044	5326	7071	4736	5260	5239	5896
FBgn0040268	2134	2974	2086	2772	2897	2996
FBgn0032796	2472	3876	2310	3320	3337	3563
FBgn0032797	3994	4494	4118	3601	3246	3630
FBgn0263095	2	1	2	0	0	0
FBgn0032798	654	726	571	479	499	558
FBgn0032799	1588	1493	1372	1297	1370	1564
FBgn0032800	377	421	352	336	368	368
FBgn0032801	846	791	721	602	576	691
FBgn0053116	1848	3229	2075	2757	2773	2863
FBgn0051697	16	13	49	24	72	8
FBgn0267011	0	0	0	0	0	1
FBgn0032803	63	64	27	19	29	21
FBgn0032804	1	0	0	0	0	1
FBgn0003231	21464	21921	16726	23781	24508	22754
FBgn0032805	300	278	319	393	420	388
FBgn0041180	8031	5967	7175	5381	5688	5130
FBgn0264845	2	4	1	2	3	1
FBgn0032809	166	150	109	39	20	27
FBgn0032810	391	377	435	447	450	460
FBgn0005672	1814	2130	1683	2260	2376	2412
FBgn0262460	42	42	48	67	61	54
FBgn0262377	11	15	6	11	11	10
FBgn0262449	5	1	0	1	3	4
FBgn0027949	1658	2672	1661	2517	2638	2725
FBgn0032811	479	616	504	525	614	610
FBgn0032812	928	1069	841	1113	1162	1202
FBgn0032813	173	159	134	132	136	158
FBgn0032814	1028	1374	933	1151	1211	1338
FBgn0000464	3241	3598	2659	3083	3023	3137
FBgn0266313	13	7	13	10	11	10
FBgn0266314	0	0	0	0	1	0
FBgn0005590	13	7	2	18	15	7
FBgn0032815	3468	4044	3591	3459	3603	3859
FBgn0032816	458	541	410	517	485	581
FBgn0266211	64	59	53	57	60	52
FBgn0032817	2728	3707	2344	2826	2989	3340
FBgn0032818	1095	1213	960	1139	1190	1303
FBgn0032819	992	1044	939	740	817	864
FBgn0032820	4702	4378	3764	6917	6148	7179
FBgn0000529	8	9	4	6	6	5
FBgn0032821	3040	4213	2673	3887	4232	4149
FBgn0032822	307	335	240	299	315	337
FBgn0004811	1727	2419	1564	2175	2295	2393
FBgn0263873	2259	2095	2653	1441	1367	1379
FBgn0003931	1	1	2	6	1	2
FBgn0043022	0	1	1	2	0	1
FBgn0003923	0	0	0	0	0	0
FBgn0032824	0	3	33	2	1	1
FBgn0003922	11	10	4	12	17	15
FBgn0043021	1	3	1	2	0	1
FBgn0032827	0	0	2	0	3	1
FBgn0262543	0	0	0	0	0	0
FBgn0044811	1	0	0	0	0	0
FBgn0053117	0	0	0	0	0	0
FBgn0264376	0	2	0	1	0	0
FBgn0264375	1	0	0	0	0	0
FBgn0266693	2	1	0	0	1	0
FBgn0032833	14805	15763	13042	12011	10834	13215
FBgn0262140	1	0	12	7	5	2
FBgn0032834	43	23	89	35	65	21
FBgn0032835	2062	1038	1087	374	363	325
FBgn0267265	2	1	3	1	2	3
FBgn0032836	7184	4500	4750	2503	2538	2975
FBgn0042129	653	618	377	404	402	428
FBgn0014000	2105	1349	1405	1261	1129	1396
FBgn0264443	135	138	114	90	99	100
FBgn0263611	0	0	2	0	4	0
FBgn0266213	0	0	6	1	6	0
FBgn0032839	280	208	110	153	100	178
FBgn0032840	531	514	485	397	404	401
FBgn0014127	2532	3456	2149	3461	3502	3588
FBgn0019686	9872	12463	7782	13170	13695	13136
FBgn0003978	1054	1228	647	1072	997	1182
FBgn0045064	1587	1422	1712	1609	1621	1533
FBgn0266212	13	16	24	14	13	7
FBgn0032843	14	7	52	12	15	10
FBgn0003141	1916	1939	1754	1719	1791	2034
FBgn0004374	1155	1451	1047	1656	1579	1723
FBgn0263773	10309	10818	7945	8559	8278	8685
FBgn0032845	827	768	650	771	726	811
FBgn0032846	594	616	480	638	606	626
FBgn0032847	880	954	858	954	944	983
FBgn0032848	835	988	745	921	942	1022
FBgn0032849	1072	1206	945	989	1004	1153
FBgn0032850	443	572	446	461	504	553
FBgn0032851	2	1	4	0	6	1
FBgn0259996	0	0	0	1	0	1
FBgn0058172	0	0	11	0	20	0
FBgn0250817	0	0	0	0	0	0
FBgn0259998	4963	6563	4525	2080	1478	2315
FBgn0260000	167	140	238	125	98	80
FBgn0263333	0	0	9	2	4	0
FBgn0003475	4419	6128	3987	5258	5453	5536
FBgn0263581	1	2	0	3	1	2
FBgn0011638	7534	8446	6225	6560	6640	6861
FBgn0015803	2315	2980	2084	2853	2838	2831
FBgn0086040	0	0	0	0	0	0
FBgn0026756	22	20	17	26	25	33
FBgn0032856	10	17	16	13	10	14
FBgn0032857	1042	1353	801	726	662	609
FBgn0032858	580	737	484	668	621	684
FBgn0032859	8712	11605	8271	9808	10508	10437
FBgn0083038	1	0	0	1	2	0
FBgn0083026	0	0	0	0	0	0
FBgn0083037	0	0	0	0	0	2
FBgn0083036	0	1	2	1	0	0
FBgn0083025	1	0	0	0	0	0
FBgn0083035	2	1	0	0	0	0
FBgn0083024	0	0	0	0	0	0
FBgn0083034	0	0	0	1	0	0
FBgn0083023	0	0	3	0	2	1
FBgn0083033	0	0	1	0	0	0
FBgn0083032	0	1	1	2	0	0
FBgn0083022	1	2	2	2	1	0
FBgn0083031	3	2	1	0	1	1
FBgn0083021	0	4	0	0	1	2
FBgn0083030	0	0	0	0	1	0
FBgn0083020	2	0	3	0	1	2
FBgn0083029	3	2	3	1	0	3
FBgn0032860	1	3	2	4	10	5
FBgn0263355	1962	2162	1436	1930	1876	1938
FBgn0263582	0	1	4	0	5	1
FBgn0051683	1302	1327	1158	2072	1826	2151
FBgn0051687	239	274	229	235	230	262
FBgn0042175	608	537	530	1163	970	1191
FBgn0032863	822	1243	856	1123	1132	1296
FBgn0032864	4359	4108	3106	4160	3761	4469
FBgn0266315	11	5	12	2	7	6
FBgn0262879	0	1	1	1	4	0
FBgn0266901	5	14	13	9	7	5
FBgn0262455	0	0	0	0	0	0
FBgn0266900	0	1	2	1	0	0
FBgn0266899	0	7	6	1	5	4
FBgn0054007	13	16	11	8	19	7
FBgn0267266	0	0	1	1	1	0
FBgn0265256	0	0	0	0	0	0
